Date,Open,High,Low,Close,Volume,,,,,,,,,,,
2020/07/13,45,45.3,44.9,45.2,"13,284",,,,,,,,,,,
2020/07/10,45.3,45.35,44.95,44.95,"17,481",,,,,,,,,,,
2020/07/09,45.4,45.45,45.15,45.3,"21,763",,,,,,,,,,,
2020/07/08,44.4,45.15,44.35,45.15,"23,461",,,,,,,,,,,
2020/07/07,44.4,44.55,44.05,44.5,"19,194",,,,,,,,,,,
2020/07/06,44,44.5,44,44.4,"21,176",,,,,,,,,,,
2020/07/03,43.8,44.05,43.8,43.95,"20,191",,,,,,,,,,,
2020/07/02,43.2,43.7,43,43.6,"18,208",,,,,,,,,,,
2020/07/01,42.75,43.2,42.7,43.1,"16,849",,,,,,,,,,,
2020/06/30,42.9,42.9,42.75,42.75,"12,448",,,,,,,,,,,
2020/06/29,42.6,42.85,42.6,42.65,"13,244",,,,,,,,,,,
2020/06/24,42.9,43,42.7,42.85,"14,382",,,,,,,,,,,
2020/06/23,43,43,42.7,42.7,"14,116",,,,,,,,,,,
2020/06/22,42.85,43.1,42.65,42.9,"12,590",,,,,,,,,,,
2020/06/19,42.8,43.2,42.55,42.55,"25,125",,,,,,,,,,,
2020/06/18,42.85,42.9,42.6,42.7,"10,558",,,,,,,,,,,
2020/06/17,42.8,42.85,42.55,42.85,"14,696",,,,,,,,,,,
2020/06/16,42.75,43.15,42.7,42.85,"11,897",,,,,,,,,,,
2020/06/15,42.75,42.95,42.5,42.5,"17,874",,,,,,,,,,,
2020/06/12,42.5,43,42.45,42.9,"21,783",,,,,,,,,,,
2020/06/11,43.9,44.05,43.3,43.3,"16,466",,,,,,,,,,,
2020/06/10,43.75,44.15,43.5,44,"22,750",,,,,,,,,,,
2020/06/09,43.65,43.9,43.6,43.9,"14,104",,,,,,,,,,,
2020/06/08,43.75,43.95,43.5,43.95,"15,341",,,,,,,,,,,
2020/06/05,43.5,43.65,43.35,43.65,"8,873",,,,,,,,,,,
2020/06/04,44,44,43.3,43.4,"13,868",,,,,,,,,,,
2020/06/03,43.5,43.9,43.4,43.65,"18,791",,,,,,,,,,,
2020/06/02,43.15,43.3,43.05,43.3,"12,568",,,,,,,,,,,
2020/06/01,42.95,43.15,42.75,43.1,"13,078",,,,,,,,,,,
2020/05/29,42.35,42.8,42.25,42.55,"37,201",,,,,,,,,,,
2020/05/28,42.85,42.9,42.35,42.35,"16,239",,,,,,,,,,,
2020/05/27,42.7,43.1,42.7,42.85,"11,688",,,,,,,,,,,
2020/05/26,42.95,43.2,42.8,43,"14,316",,,,,,,,,,,
2020/05/25,42.65,42.7,42.2,42.65,"11,390",,,,,,,,,,,
2020/05/22,43,43.1,42.6,42.65,"12,617",,,,,,,,,,,
2020/05/21,43,43.15,42.8,43,"12,472",,,,,,,,,,,
2020/05/20,43.2,43.2,42.9,42.9,"11,157",,,,,,,,,,,
2020/05/19,42.9,43.2,42.7,43,"21,443",,,,,,,,,,,
2020/05/18,42,42.7,42,42.35,"10,674",,,,,,,,,,,
2020/05/15,42.65,42.75,42.25,42.3,"9,148",,,,,,,,,,,
2020/05/14,42.55,42.8,42.2,42.6,"15,587",,,,,,,,,,,
2020/05/13,42.7,42.9,42.3,42.9,"16,361",,,,,,,,,,,
2020/05/12,42.75,43.1,42.75,42.95,"10,886",,,,,,,,,,,
2020/05/11,43.2,43.45,43.15,43.15,"12,671",,,,,,,,,,,
2020/05/08,43.1,43.1,42.75,43,"11,586",,,,,,,,,,,
2020/05/07,42.8,43.1,42.5,42.7,"9,145",,,,,,,,,,,
